plant,phase,toal_water_production,day,value
Al-Jubail,MSF-Phase2,Desal13,2022-05-23,27352
Al-Jubail,MSF-Phase2,Desal13,2022-05-24,27155
Al-Jubail,MSF-Phase2,Desal13,2022-05-25,27040
Al-Jubail,MSF-Phase2,Desal13,2022-05-26,26935
Al-Jubail,MSF-Phase2,Desal13,2022-05-27,26731
Al-Jubail,MSF-Phase2,Desal13,2022-05-28,26708
Al-Jubail,MSF-Phase2,Desal13,2022-05-29,17184
Al-Jubail,MSF-Phase2,Desal13,2022-05-30,5037
Al-Jubail,MSF-Phase2,Desal13,2022-05-31,24685
Al-Jubail,MSF-Phase2,Desal14,2022-05-01,26051
Al-Jubail,MSF-Phase2,Desal14,2022-05-02,25430
Al-Jubail,MSF-Phase2,Desal14,2022-05-03,25692
Al-Jubail,MSF-Phase2,Desal14,2022-05-04,25933
Al-Jubail,MSF-Phase2,Desal14,2022-05-05,25882
Al-Jubail,MSF-Phase2,Desal14,2022-05-06,25845
Al-Jubail,MSF-Phase2,Desal14,2022-05-07,25839
Al-Jubail,MSF-Phase2,Desal14,2022-05-08,25768
Al-Jubail,MSF-Phase2,Desal14,2022-05-09,25470
Al-Jubail,MSF-Phase2,Desal14,2022-05-10,25414
Al-Jubail,MSF-Phase2,Desal14,2022-05-11,25658
Al-Jubail,MSF-Phase2,Desal14,2022-05-12,25141
Al-Jubail,MSF-Phase2,Desal14,2022-05-13,25324
Al-Jubail,MSF-Phase2,Desal14,2022-05-14,26066
Al-Jubail,MSF-Phase2,Desal14,2022-05-15,25857
Al-Jubail,MSF-Phase2,Desal14,2022-05-16,20700
Al-Jubail,MSF-Phase2,Desal14,2022-05-17,5128
Al-Jubail,MSF-Phase2,Desal14,2022-05-18,22891
Al-Jubail,MSF-Phase2,Desal14,2022-05-19,23558
Al-Jubail,MSF-Phase2,Desal14,2022-05-20,23598
Al-Jubail,MSF-Phase2,Desal14,2022-05-21,24044
Al-Jubail,MSF-Phase2,Desal14,2022-05-22,24150
Al-Jubail,MSF-Phase2,Desal14,2022-05-23,24595
Al-Jubail,MSF-Phase2,Desal14,2022-05-24,24509
Al-Jubail,MSF-Phase2,Desal14,2022-05-25,24239
Al-Jubail,MSF-Phase2,Desal14,2022-05-26,24140
Al-Jubail,MSF-Phase2,Desal14,2022-05-27,23971
Al-Jubail,MSF-Phase2,Desal14,2022-05-28,24029
Al-Jubail,MSF-Phase2,Desal14,2022-05-29,15837
Al-Jubail,MSF-Phase2,Desal14,2022-05-30,9772
Al-Jubail,MSF-Phase2,Desal14,2022-05-31,23835
Al-Jubail,MSF-Phase2,Desal15,2022-05-01,26004
